loan_id,account_id,loan_date,amount,duration,payments,status,account_id,district_id,frequency,dt,disp_id,type,client_id,gender,birth_date,district_id,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,account_id,sum_of_credits_before_loan,sum_of_withdrawals_before_loan,MIN_balance_before_loan,MAX_balance_before_loan,num_times_balance_below_100,avg_balance_30days_before_loan,avg_amount_before_loan
5002,173,1994-05-31,104808,12,8734.00,A,173,66,POPLATEK MESICNE,1993-11-26,210,OWNER,210,Male,1939-11-30,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.30,8512,3.51,4.12,102,2247,2103,173,113647,113647,500,57865,0,38690.0000,6642.6000
5005,176,1997-04-10,27456,12,2288.00,A,176,71,POPLATEK TYDNE,1996-08-12,215,OWNER,215,Male,1967-09-24,71,Novy Jicin,north Moravia,161227,5,35,11,4,10,69.70,8678,5.93,5.57,102,4980,4595,176,460653,460653,800,111282,0,64943.3846,11800.3200
5015,226,1998-07-12,109344,12,9112.00,C,226,70,POPLATEK MESICNE,1997-02-23,272,OWNER,272,Female,1944-10-25,70,Karvina,north Moravia,285387,0,2,8,5,7,89.90,10177,6.63,7.75,81,9878,10108,226,382159,382159,1000,80433,0,62686.5000,7501.7527
5027,276,1998-12-02,160920,36,4470.00,C,276,38,POPLATEK MESICNE,1997-12-08,333,OWNER,333,Male,1971-10-19,38,Louny,north Bohemia,85852,41,23,4,2,4,59.80,8965,7.08,8.23,104,2653,2822,276,352220,352220,700,74906,0,42189.1667,11120.6271
5032,290,1994-11-03,123696,48,2577.00,A,290,56,POPLATEK MESICNE,1993-12-02,352,OWNER,352,Male,1940-08-27,56,Breclav,south Moravia,124605,11,42,14,1,8,46.00,8772,4.69,4.98,126,2854,3158,290,285669,285669,300,89822,0,24745.4000,8953.2951
5034,303,1998-05-30,112752,36,3132.00,C,303,71,POPLATEK MESICNE,1996-07-25,370,OWNER,370,Female,1956-01-05,71,Novy Jicin,north Moravia,161227,5,35,11,4,10,69.70,8678,5.93,5.57,102,4980,4595,303,384720,384720,900,68402,0,52335.7143,5585.4961
5036,309,1998-11-25,91248,48,1901.00,C,309,14,POPLATEK MESICNE,1997-04-25,376,OWNER,376,Female,1973-01-08,14,Ceske Budejovice,south Bohemia,177686,69,27,10,1,9,74.80,10045,1.42,1.71,135,6604,6295,309,399412,399412,900,59726,0,20867.2000,7918.8081
5039,314,1997-05-03,66840,24,2785.00,C,314,15,POPLATEK PO OBRATU,1996-01-26,383,OWNER,383,Female,1939-05-17,15,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.90,9045,3.13,3.60,124,1845,1879,314,600842,600842,700,109016,0,39389.8571,12542.6596
5041,319,1997-07-11,369000,60,6150.00,C,319,47,POPLATEK TYDNE,1995-10-17,389,OWNER,389,Female,1974-06-30,47,Pardubice,east Bohemia,162580,83,26,5,1,6,72.80,9538,1.51,1.81,111,6079,5410,319,547477,547477,700,110827,0,58609.7143,6055.0292
5042,330,1998-07-12,331584,48,6908.00,C,330,42,POPLATEK MESICNE,1996-11-24,403,OWNER,403,Female,1973-05-26,42,Havlickuv Brod,east Bohemia,95907,87,25,5,2,7,59.10,8388,2.41,2.94,87,1658,1668,330,496135,496135,400,73943,0,43333.0000,9275.0495
5043,339,1997-12-25,468060,60,7801.00,C,339,46,POPLATEK TYDNE,1996-09-11,414,OWNER,414,Female,1947-10-19,46,Nachod,east Bohemia,112709,48,20,7,3,10,73.50,8369,1.79,2.31,117,2854,2618,339,823645,823645,400,127425,0,67741.4444,13857.6250
5044,344,1994-12-21,100980,60,1683.00,C,344,54,POPLATEK MESICNE,1993-12-01,421,OWNER,421,Male,1965-07-31,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.00,9897,1.60,1.96,140,18721,18696,344,207708,207708,600,53377,0,40584.7143,5261.1286
5045,347,1995-05-01,187224,24,7801.00,B,347,65,POPLATEK MESICNE,1993-12-13,424,OWNER,424,Male,1947-10-08,65,Znojmo,south Moravia,114200,101,41,4,1,4,43.70,8403,5.74,5.72,105,2157,2718,347,502144,502144,-243,92571,1,35053.2000,10834.7727
5046,349,1998-09-09,42816,12,3568.00,C,349,72,POPLATEK MESICNE,1997-06-08,426,OWNER,426,Male,1937-06-01,72,Olomouc,north Moravia,226122,32,50,7,4,4,62.60,8994,3.80,4.79,110,9672,9208,349,145599,145599,1100,31617,0,16998.2000,3205.9294
5051,378,1997-10-11,230400,60,3840.00,C,378,68,POPLATEK MESICNE,1996-07-22,458,OWNER,458,Male,1961-07-24,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.20,9893,4.09,4.72,96,5623,5887,378,1082327,1082327,20574,145352,0,65263.1111,12591.5595
5060,426,1994-07-19,252060,60,4201.00,D,426,1,POPLATEK MESICNE,1993-11-29,512,OWNER,512,Female,1965-08-03,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.00,12541,0.29,0.43,167,85677,99107,426,389615,389615,900,106260,0,65952.8182,11625.1639
5061,440,1998-03-13,84288,48,1756.00,C,440,29,POPLATEK MESICNE,1996-12-22,530,OWNER,530,Female,1957-09-27,29,Rokycany,west Bohemia,45714,52,10,5,1,6,55.60,8843,2.82,3.60,113,818,888,440,272322,272322,500,50218,0,32782.8333,5942.6118
5063,442,1997-07-10,357840,48,7455.00,D,442,54,POPLATEK MESICNE,1997-03-30,533,OWNER,533,Female,1941-05-19,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.00,9897,1.60,1.96,140,18721,18696,442,10100,10100,600,10100,0,10100.0000,5050.0000
5072,472,1997-04-28,196800,24,8200.00,D,472,8,POPLATEK MESICNE,1996-10-11,568,OWNER,568,Female,1960-07-19,8,Mlada Boleslav,central Bohemia,112065,95,19,7,1,8,69.40,11277,1.25,1.44,127,5179,4987,472,321082,321082,300,113888,0,49408.6000,26260.7391
5082,501,1996-10-24,262980,60,4383.00,C,501,13,POPLATEK MESICNE,1995-10-21,603,OWNER,603,Female,1966-03-09,13,Rakovnik,central Bohemia,53921,61,22,1,1,2,41.30,8598,2.77,3.26,123,1597,1875,501,242727,242727,900,78574,0,38696.8333,7310.3036
5086,525,1997-07-16,210384,48,4383.00,C,525,70,POPLATEK MESICNE,1996-03-20,631,OWNER,631,Female,1956-03-22,70,Karvina,north Moravia,285387,0,2,8,5,7,89.90,10177,6.63,7.75,81,9878,10108,525,254090,254090,300,121135,0,50808.7143,7825.4915
5088,544,1996-08-22,91152,24,3798.00,A,544,32,POPLATEK MESICNE,1995-05-15,655,OWNER,655,Male,1942-12-10,32,Ceska Lipa,north Bohemia,105058,32,19,7,2,10,81.00,9272,2.80,3.22,118,4340,4505,544,383630,383630,400,72328,0,47373.7500,9453.0260
5103,666,1997-11-28,12540,12,1045.00,A,666,27,POPLATEK MESICNE,1996-03-15,798,OWNER,798,Female,1940-02-12,27,Plzen - jih,west Bohemia,67298,71,19,10,0,7,43.80,8561,0.65,1.29,110,1029,1127,666,346718,346718,200,57779,0,47996.4444,4203.1447
5110,675,1997-04-01,102240,60,1704.00,C,675,58,POPLATEK MESICNE,1995-08-03,810,OWNER,810,Female,1945-09-24,58,Jihlava,south Moravia,109164,98,16,6,1,4,63.60,8757,3.38,3.95,96,2212,2471,675,253393,253393,900,43627,0,34611.8571,3746.2143
5117,718,1997-08-20,76944,12,6412.00,A,718,1,POPLATEK MESICNE,1996-03-03,861,OWNER,861,Female,1956-09-13,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.00,12541,0.29,0.43,167,85677,99107,718,487382,487382,500,105970,0,80080.8182,8322.8182
5124,785,1998-02-12,156096,36,4336.00,C,785,21,POPLATEK TYDNE,1997-08-09,939,OWNER,939,Male,1952-08-03,21,Tabor,south Bohemia,103347,87,16,7,1,7,67.00,9104,1.51,2.07,123,2299,2354,785,171455,171455,700,93801,0,43719.7778,9528.3939
5125,789,1995-11-23,73056,48,1522.00,C,789,39,POPLATEK MESICNE,1995-02-06,944,OWNER,944,Male,1970-12-18,39,Most,north Bohemia,119895,17,4,3,2,4,89.90,10446,7.34,9.40,90,4947,4743,789,73130,73130,500,33555,0,20589.8571,2445.3922
5126,790,1994-07-24,208128,48,4336.00,B,790,54,POPLATEK MESICNE,1993-05-11,946,OWNER,946,Male,1951-08-06,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.00,9897,1.60,1.96,140,18721,18696,790,342886,342886,-1070,96064,1,54891.0000,9442.2031
5128,808,1996-04-11,215616,48,4492.00,D,808,69,POPLATEK MESICNE,1995-06-13,968,OWNER,968,Male,1957-02-17,69,Jesenik,north Moravia,42821,4,13,5,1,3,48.40,8173,0.00,7.01,124,0,1358,808,165169,165169,-3425,50125,6,49.2500,5273.7377
5130,813,1994-05-11,24312,12,2026.00,A,813,16,POPLATEK MESICNE,1993-02-10,976,OWNER,976,Female,1955-11-19,16,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.90,8427,1.12,1.54,107,1874,1913,813,207261,207261,1100,48278,0,34415.0000,4949.5385
5131,816,1995-01-08,48624,24,2026.00,A,816,52,POPLATEK MESICNE,1993-08-05,980,OWNER,980,Male,1961-09-30,52,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.90,8363,2.52,3.49,108,2564,2799,816,736575,736575,200,134187,0,78123.2222,12180.8462
5132,817,1995-02-17,538500,60,8975.00,C,817,5,POPLATEK MESICNE,1994-03-18,981,OWNER,981,Male,1960-06-28,5,Kolin,central Bohemia,95616,65,30,4,1,6,51.40,9307,3.85,4.43,118,2616,3040,817,258133,258133,200,69776,0,26235.0000,8499.9655
5134,825,1997-02-02,53076,12,4423.00,A,825,19,POPLATEK MESICNE,1996-03-06,992,OWNER,992,Male,1948-05-21,19,Prachatice,south Bohemia,51428,50,11,3,1,4,52.70,8402,3.13,3.98,120,999,1099,825,203498,203498,500,65122,0,21349.3077,5937.4308
5136,846,1996-07-28,187104,24,7796.00,A,846,72,POPLATEK MESICNE,1996-03-09,1020,OWNER,1020,Female,1977-05-10,72,Olomouc,north Moravia,226122,32,50,7,4,4,62.60,8994,3.80,4.79,110,9672,9208,846,288708,288708,300,137194,0,73018.0000,19621.5200
5138,854,1995-05-30,87216,48,1817.00,C,854,62,POPLATEK MESICNE,1993-09-21,1029,OWNER,1029,Female,1954-03-16,62,Uherske Hradiste,south Moravia,145688,22,41,13,2,5,40.70,8544,1.29,1.86,109,2719,2906,854,232491,232491,700,43787,0,27035.1250,2960.7500
5140,873,1998-02-24,178500,60,2975.00,C,873,73,POPLATEK MESICNE,1997-04-26,1051,OWNER,1051,Female,1971-08-26,73,Opava,north Moravia,182027,17,49,12,2,7,56.40,8746,3.33,3.74,90,4355,4433,873,96514,96514,1000,39316,0,15935.8889,2713.0000
5145,915,1995-09-16,309552,48,6449.00,C,915,72,POPLATEK MESICNE,1995-01-18,1102,OWNER,1102,Male,1935-01-29,72,Olomouc,north Moravia,226122,32,50,7,4,4,62.60,8994,3.80,4.79,110,9672,9208,915,330909,330909,700,121713,0,57939.0000,17429.0857
5147,938,1998-05-21,22260,60,371.00,C,938,70,POPLATEK MESICNE,1997-12-13,1130,OWNER,1130,Female,1940-11-26,70,Karvina,north Moravia,285387,0,2,8,5,7,89.90,10177,6.63,7.75,81,9878,10108,938,40078,40078,700,31278,0,29496.0000,3258.5333
5148,940,1996-05-29,284280,60,4738.00,C,940,37,POPLATEK MESICNE,1994-11-15,1133,OWNER,1133,Female,1958-09-15,37,Litomerice,north Bohemia,114006,71,26,6,2,9,62.30,9065,4.46,5.39,123,4147,4166,940,742463,742463,300,109362,0,81077.8000,14790.5638
5151,960,1995-05-24,189060,60,3151.00,C,960,4,POPLATEK PO OBRATU,1994-11-02,1157,OWNER,1157,Female,1958-12-30,4,Kladno,central Bohemia,149893,63,29,6,2,6,67.40,9753,4.64,5.05,109,5244,5892,960,301975,301975,200,101794,0,67482.7500,17833.4667
5154,993,1998-07-01,108720,60,1812.00,C,993,6,POPLATEK MESICNE,1996-11-14,1197,OWNER,1197,Female,1966-10-02,6,Kutna Hora,central Bohemia,77963,60,23,4,2,4,51.50,8546,2.95,4.02,126,2640,3120,993,339137,339137,1000,112611,0,57363.6667,9952.1875
5158,1004,1998-04-11,188532,36,5237.00,C,1004,70,POPLATEK MESICNE,1996-07-02,1208,OWNER,1208,Female,1975-09-01,70,Karvina,north Moravia,285387,0,2,8,5,7,89.90,10177,6.63,7.75,81,9878,10108,1004,1157402,1157402,200,143846,0,36579.0000,15490.9730
5160,1011,1995-12-18,204000,60,3400.00,C,1011,45,POPLATEK MESICNE,1994-12-17,1215,OWNER,1215,Male,1944-05-06,45,Jicin,east Bohemia,77917,85,19,6,1,5,53.50,8390,2.28,2.89,132,2080,2122,1011,269310,269310,400,68173,0,29462.1250,7702.0154
5161,1012,1994-10-28,98184,24,4091.00,A,1012,65,POPLATEK MESICNE,1994-07-09,1216,OWNER,1216,Female,1945-06-12,65,Znojmo,south Moravia,114200,101,41,4,1,4,43.70,8403,5.74,5.72,105,2157,2718,1012,99656,99656,500,68956,0,59587.0000,9311.1429
5169,1068,1998-09-24,253200,60,4220.00,C,1068,52,POPLATEK MESICNE,1997-02-15,1282,OWNER,1282,Male,1936-11-27,52,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.90,8363,2.52,3.49,108,2564,2799,1068,420722,420722,1000,96491,0,64836.3000,5916.7537
5170,1071,1994-01-20,253200,60,4220.00,C,1071,68,POPLATEK TYDNE,1993-05-10,1286,OWNER,1286,Female,1950-03-13,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.20,9893,4.09,4.72,96,5623,5887,1071,284779,284779,800,104418,0,40843.7500,11912.3659
5172,1083,1998-04-16,50976,36,1416.00,C,1083,45,POPLATEK MESICNE,1996-12-06,1300,OWNER,1300,Male,1979-10-27,45,Jicin,east Bohemia,77917,85,19,6,1,5,53.50,8390,2.28,2.89,132,2080,2122,1083,234586,234586,400,48736,0,20091.3750,3641.1707
5174,1093,1997-06-13,385104,48,8023.00,C,1093,54,POPLATEK MESICNE,1996-01-14,1311,OWNER,1311,Female,1956-12-18,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.00,9897,1.60,1.96,140,18721,18696,1093,894090,894090,1000,121007,0,45502.5000,17024.0000
5176,1106,1994-11-12,192552,24,8023.00,B,1106,20,POPLATEK TYDNE,1993-08-29,1327,OWNER,1327,Female,1963-12-31,20,Strakonice,south Bohemia,70646,94,14,3,1,4,58.40,8547,2.65,3.64,120,1563,1542,1106,158359,158359,800,49563,0,21443.0000,5774.3922
5189,1166,1994-02-07,149040,48,3105.00,A,1166,11,POPLATEK MESICNE,1993-04-21,1404,OWNER,1404,Female,1968-12-20,11,Praha - zapad,central Bohemia,75637,35,36,9,0,7,36.50,9622,0.45,0.59,154,3475,3529,1166,189932,189932,200,62442,0,30515.5455,6682.0741
5206,1242,1997-09-07,128544,24,5356.00,C,1242,74,POPLATEK PO OBRATU,1996-11-24,1499,OWNER,1499,Female,1951-11-29,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.00,10673,4.75,5.44,100,18782,18347,1242,249804,249804,200,131453,0,24156.5714,7808.7333
5207,1244,1997-02-28,35904,48,748.00,C,1244,68,POPLATEK MESICNE,1996-05-08,1501,OWNER,1501,Male,1946-01-22,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.20,9893,4.09,4.72,96,5623,5887,1244,67757,67757,900,34279,0,18899.8000,1997.5254
5208,1247,1995-03-16,99696,48,2077.00,D,1247,25,POPLATEK MESICNE,1993-06-08,1505,OWNER,1505,Female,1971-06-25,25,Klatovy,west Bohemia,88757,60,33,3,2,10,61.70,8554,2.47,2.68,113,1822,2218,1247,649191,649191,-975,127685,3,35141.4286,11716.8333
5209,1250,1996-11-25,182640,48,3805.00,C,1250,62,POPLATEK MESICNE,1996-03-28,1509,OWNER,1509,Female,1942-04-19,62,Uherske Hradiste,south Moravia,145688,22,41,13,2,5,40.70,8544,1.29,1.86,109,2719,2906,1250,196501,196501,600,64412,0,29484.1250,9227.6250
5210,1252,1997-04-01,148140,36,4115.00,C,1252,13,POPLATEK TYDNE,1995-07-26,1511,OWNER,1511,Female,1962-03-06,13,Rakovnik,central Bohemia,53921,61,22,1,1,2,41.30,8598,2.77,3.26,123,1597,1875,1252,536681,536681,1000,78469,0,37759.8333,8874.0508
5212,1256,1995-05-29,71064,36,1974.00,A,1256,38,POPLATEK MESICNE,1994-04-21,1516,OWNER,1516,Female,1946-10-17,38,Louny,north Bohemia,85852,41,23,4,2,4,59.80,8965,7.08,8.23,104,2653,2822,1256,226247,226247,700,55373,0,36457.1111,4896.5000
5214,1270,1997-07-01,74772,36,2077.00,C,1270,55,POPLATEK PO OBRATU,1996-06-07,1533,OWNER,1533,Male,1960-12-22,55,Brno - venkov,south Moravia,157042,49,70,18,0,9,33.90,8743,1.88,2.43,111,3659,3894,1270,190533,190533,500,45989,0,25622.3333,4899.8310
5221,1284,1998-12-05,52512,12,4376.00,C,1284,55,POPLATEK MESICNE,1997-07-02,1554,OWNER,1554,Male,1944-12-15,55,Brno - venkov,south Moravia,157042,49,70,18,0,9,33.90,8743,1.88,2.43,111,3659,3894,1284,563909,563909,1000,120420,0,39485.7500,12491.8046
5226,1318,1998-10-11,185544,36,5154.00,C,1318,56,POPLATEK MESICNE,1997-12-22,1594,OWNER,1594,Male,1939-09-29,56,Breclav,south Moravia,124605,11,42,14,1,8,46.00,8772,4.69,4.98,126,2854,3158,1318,139411,139411,200,70888,0,20621.1111,7575.0857
5229,1329,1997-09-06,23520,12,1960.00,A,1329,53,POPLATEK MESICNE,1996-09-16,1608,OWNER,1608,Male,1941-11-11,53,Blansko,south Moravia,107911,88,33,6,2,7,50.90,8240,2.53,3.56,99,1850,1903,1329,147706,147706,500,44667,0,19681.2500,4386.1270
5236,1374,1997-09-15,389136,48,8107.00,C,1374,53,POPLATEK MESICNE,1996-09-26,1662,OWNER,1662,Male,1967-09-07,53,Blansko,south Moravia,107911,88,33,6,2,7,50.90,8240,2.53,3.56,99,1850,1903,1374,635491,635491,700,126404,0,73612.7500,19229.2903
5237,1375,1995-08-29,45336,24,1889.00,A,1375,19,POPLATEK MESICNE,1994-04-27,1663,OWNER,1663,Male,1957-04-29,19,Prachatice,south Bohemia,51428,50,11,3,1,4,52.70,8402,3.13,3.98,120,999,1099,1375,361661,361661,800,71486,0,47057.4286,7594.2889
5241,1389,1998-09-02,125472,24,5228.00,C,1389,34,POPLATEK MESICNE,1997-08-05,1681,OWNER,1681,Male,1940-11-25,34,Chomutov,north Bohemia,125236,28,11,1,4,5,87.70,9675,6.43,7.68,100,5323,5190,1389,539447,539447,800,117375,0,15914.2500,10944.5773
5245,1407,1998-01-17,125472,24,5228.00,C,1407,19,POPLATEK PO OBRATU,1997-04-11,1705,OWNER,1705,Female,1946-07-01,19,Prachatice,south Bohemia,51428,50,11,3,1,4,52.70,8402,3.13,3.98,120,999,1099,1407,601541,601541,800,143697,0,74796.5714,15077.0130
5253,1447,1997-06-03,100080,48,2085.00,C,1447,65,POPLATEK MESICNE,1997-02-20,1755,OWNER,1755,Female,1965-08-18,65,Znojmo,south Moravia,114200,101,41,4,1,4,43.70,8403,5.74,5.72,105,2157,2718,1447,41842,41842,300,38629,0,32800.3333,5374.2000
5260,1480,1998-01-19,123300,36,3425.00,C,1480,41,POPLATEK TYDNE,1996-07-03,1793,OWNER,1793,Female,1945-03-17,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.60,9832,3.32,4.48,114,6445,5471,1480,622070,622070,800,132025,0,61148.8333,13272.6667
5265,1498,1998-10-07,165780,60,2763.00,C,1498,62,POPLATEK TYDNE,1997-02-07,1816,OWNER,1816,Male,1951-07-24,62,Uherske Hradiste,south Moravia,145688,22,41,13,2,5,40.70,8544,1.29,1.86,109,2719,2906,1498,569733,569733,413,116112,0,60900.3333,9700.0177
5269,1527,1994-11-19,164052,36,4557.00,B,1527,31,POPLATEK PO OBRATU,1993-11-17,1851,OWNER,1851,Female,1975-09-12,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.20,8930,3.52,4.20,108,1328,1452,1527,394207,394207,-2565,112046,3,19636.0000,11809.2615
5270,1528,1997-07-21,191088,48,3981.00,C,1528,50,POPLATEK MESICNE,1996-06-08,1852,OWNER,1852,Male,1962-09-05,50,Svitavy,east Bohemia,102609,75,33,2,3,6,52.00,8187,4.83,5.45,94,2123,2134,1528,283324,283324,500,57550,0,36161.6667,6772.5513
5281,1580,1997-11-27,194256,24,8094.00,C,1580,69,POPLATEK MESICNE,1996-01-08,1913,OWNER,1913,Male,1968-04-15,69,Jesenik,north Moravia,42821,4,13,5,1,3,48.40,8173,0.00,7.01,124,0,1358,1580,892291,892291,400,134157,0,49130.6000,12812.2761
5282,1583,1996-08-24,388512,48,8094.00,D,1583,69,POPLATEK PO OBRATU,1994-11-17,1917,OWNER,1917,Female,1969-03-13,69,Jesenik,north Moravia,42821,4,13,5,1,3,48.40,8173,0.00,7.01,124,0,1358,1583,458515,458515,-2839,84744,9,45324.0000,7319.4250
5285,1603,1994-02-06,78936,12,6578.00,A,1603,1,POPLATEK MESICNE,1993-05-09,1944,OWNER,1944,Female,1957-01-22,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.00,12541,0.29,0.43,167,85677,99107,1603,95407,95407,900,40560,0,26064.1250,3259.0784
5287,1638,1998-01-26,64224,24,2676.00,C,1638,6,POPLATEK TYDNE,1996-11-12,1985,OWNER,1985,Male,1937-12-13,6,Kutna Hora,central Bohemia,77963,60,23,4,2,4,51.50,8546,2.95,4.02,126,2640,3120,1638,201973,201973,900,92049,0,24778.2000,8091.2553
5293,1656,1998-10-29,189792,48,3954.00,C,1656,47,POPLATEK MESICNE,1997-02-01,2008,OWNER,2008,Male,1940-06-07,47,Pardubice,east Bohemia,162580,83,26,5,1,6,72.80,9538,1.51,1.81,111,6079,5410,1656,546214,546214,500,78412,0,31441.6667,8240.8672
5301,1698,1996-07-06,141948,36,3943.00,C,1698,68,POPLATEK MESICNE,1996-03-14,2063,OWNER,2063,Female,1950-09-26,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.20,9893,4.09,4.72,96,5623,5887,1698,68441,68441,800,63263,0,52522.0000,8964.1000
5304,1718,1998-08-20,172272,24,7178.00,C,1718,71,POPLATEK MESICNE,1997-09-23,2083,OWNER,2083,Male,1943-03-12,71,Novy Jicin,north Moravia,161227,5,35,11,4,10,69.70,8678,5.93,5.57,102,4980,4595,1718,529789,529789,300,126478,0,65549.8333,17945.7273
5310,1762,1995-04-28,248148,36,6893.00,A,1762,28,POPLATEK MESICNE,1993-12-11,2136,OWNER,2136,Female,1940-07-24,28,Plzen - sever,west Bohemia,72541,66,26,10,0,8,36.90,8594,1.62,2.01,112,1580,1525,1762,347756,347756,600,67486,0,35829.2222,5453.4000
5311,1766,1996-06-15,30060,60,501.00,C,1766,28,POPLATEK MESICNE,1994-09-03,2141,OWNER,2141,Male,1951-09-06,28,Plzen - sever,west Bohemia,72541,66,26,10,0,8,36.90,8594,1.62,2.01,112,1580,1525,1766,476147,476147,500,69383,0,27011.7000,4859.0161
5312,1772,1996-03-13,202788,36,5633.00,C,1772,31,POPLATEK TYDNE,1995-02-20,2148,OWNER,2148,Female,1953-07-20,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.20,8930,3.52,4.20,108,1328,1452,1772,678391,678391,1100,139881,0,62543.2857,16141.2278
5313,1776,1998-05-27,43200,24,1800.00,C,1776,36,POPLATEK MESICNE,1997-07-27,2153,OWNER,2153,Female,1949-05-16,36,Liberec,north Bohemia,159617,29,19,8,1,9,85.20,9198,3.33,4.28,131,5796,6132,1776,149842,149842,400,62263,0,37907.0000,4853.0926
5314,1787,1993-07-05,96396,12,8033.00,B,1787,30,POPLATEK TYDNE,1993-03-22,2166,OWNER,2166,Female,1947-07-22,30,Sokolov,west Bohemia,94812,15,13,8,2,10,81.80,9650,3.38,3.67,100,2985,2804,1787,20100,20100,1100,20100,0,20100.0000,5025.0000
